step,t,x,y,z,vx,vy,vz,X_inertial,Y_inertial,Jacobi_C,Jacobi_Drift
44,0.044000,0.82208208,0.00724724,0.00497892,0.00757992,0.16413025,-0.00095741,0.82096766,0.04340017,3.1754207949,0.0000e+00
45,0.045000,0.82208975,0.00741135,0.00497795,0.00775136,0.16409031,-0.00097910,0.82092412,0.04438540,3.1754207949,0.0000e+00
46,0.046000,0.82209758,0.00757542,0.00497696,0.00792274,0.16404948,-0.00100079,0.82087961,0.04537056,3.1754207949,4.4409e-16
47,0.047000,0.82210559,0.00773945,0.00497595,0.00809406,0.16400775,-0.00102247,0.82083412,0.04635564,3.1754207949,4.4409e-16
48,0.048000,0.82211377,0.00790343,0.00497492,0.00826532,0.16396513,-0.00104415,0.82078766,0.04734064,3.1754207949,0.0000e+00
49,0.049000,0.82212212,0.00806738,0.00497386,0.00843652,0.16392162,-0.00106583,0.82074022,0.04832556,3.1754207949,4.4409e-16
50,0.050000,0.82213064,0.00823128,0.00497279,0.00860766,0.16387722,-0.00108750,0.82069180,0.04931040,3.1754207949,0.0000e+00
51,0.051000,0.82213934,0.00839513,0.00497169,0.00877874,0.16383192,-0.00110916,0.82064241,0.05029515,3.1754207949,0.0000e+00
52,0.052000,0.82214820,0.00855894,0.00497057,0.00894975,0.16378573,-0.00113082,0.82059204,0.05127981,3.1754207949,0.0000e+00
53,0.053000,0.82215724,0.00872270,0.00496943,0.00912070,0.16373865,-0.00115248,0.82054070,0.05226439,3.1754207949,0.0000e+00
54,0.054000,0.82216644,0.00888642,0.00496826,0.00929158,0.16369068,-0.00117413,0.82048838,0.05324888,3.1754207949,0.0000e+00
55,0.055000,0.82217582,0.00905008,0.00496708,0.00946240,0.16364182,-0.00119577,0.82043509,0.05423327,3.1754207949,4.4409e-16
56,0.056000,0.82218537,0.00921370,0.00496587,0.00963315,0.16359207,-0.00121741,0.82038082,0.05521758,3.1754207949,0.0000e+00
57,0.057000,0.82219509,0.00937727,0.00496464,0.00980382,0.16354143,-0.00123904,0.82032558,0.05620178,3.1754207949,0.0000e+00
58,0.058000,0.82220498,0.00954078,0.00496339,0.00997443,0.16348990,-0.00126067,0.82026936,0.05718590,3.1754207949,4.4409e-16
59,0.059000,0.82221503,0.00970425,0.00496212,0.01014496,0.16343748,-0.00128230,0.82021217,0.05816991,3.1754207949,0.0000e+00
60,0.060000,0.82222527,0.00986766,0.00496083,0.01031542,0.16338417,-0.00130391,0.82015400,0.05915382,3.1754207949,0.0000e+00
61,0.061000,0.82223567,0.01003101,0.00495951,0.01048581,0.16332997,-0.00132552,0.82009486,0.06013763,3.1754207949,0.0000e+00
62,0.062000,0.82224624,0.01019432,0.00495818,0.01065612,0.16327488,-0.00134713,0.82003474,0.06112134,3.1754207949,4.4409e-16
63,0.063000,0.82225698,0.01035756,0.00495682,0.01082635,0.16321890,-0.00136872,0.81997365,0.06210495,3.1754207949,4.4409e-16
64,0.064000,0.82226789,0.01052075,0.00495544,0.01099650,0.16316204,-0.00139032,0.81991159,0.06308844,3.1754207949,0.0000e+00
65,0.065000,0.82227897,0.01068389,0.00495404,0.01116657,0.16310429,-0.00141190,0.81984855,0.06407183,3.1754207949,0.0000e+00
66,0.066000,0.82229022,0.01084696,0.00495262,0.01133657,0.16304565,-0.00143348,0.81978454,0.06505511,3.1754207949,0.0000e+00
67,0.067000,0.82230164,0.01100998,0.00495117,0.01150648,0.16298613,-0.00145506,0.81971956,0.06603828,3.1754207949,0.0000e+00
68,0.068000,0.82231324,0.01117294,0.00494971,0.01167631,0.16292572,-0.00147662,0.81965361,0.06702133,3.1754207949,4.4409e-16
69,0.069000,0.82232500,0.01133583,0.00494822,0.01184605,0.16286442,-0.00149818,0.81958668,0.06800427,3.1754207949,4.4409e-16
70,0.070000,0.82233693,0.01149866,0.00494671,0.01201571,0.16280224,-0.00151973,0.81951878,0.06898709,3.1754207949,4.4409e-16
71,0.071000,0.82234903,0.01166143,0.00494518,0.01218528,0.16273917,-0.00154128,0.81944990,0.06996979,3.1754207949,4.4409e-16
72,0.072000,0.82236130,0.01182414,0.00494363,0.01235476,0.16267522,-0.00156282,0.81938006,0.07095238,3.1754207949,0.0000e+00
73,0.073000,0.82237374,0.01198678,0.00494205,0.01252415,0.16261038,-0.00158435,0.81930924,0.07193484,3.1754207949,0.0000e+00
74,0.074000,0.82238635,0.01214936,0.00494046,0.01269345,0.16254466,-0.00160588,0.81923745,0.07291718,3.1754207949,4.4409e-16
75,0.075000,0.82239912,0.01231187,0.00493884,0.01286266,0.16247806,-0.00162739,0.81916469,0.07389939,3.1754207949,4.4409e-16
76,0.076000,0.82241207,0.01247432,0.00493720,0.01303178,0.16241057,-0.00164890,0.81909095,0.07488147,3.1754207949,4.4409e-16
77,0.077000,0.82242519,0.01263669,0.00493554,0.01320080,0.16234220,-0.00167041,0.81901625,0.07586343,3.1754207949,0.0000e+00
78,0.078000,0.82243847,0.01279900,0.00493386,0.01336973,0.16227295,-0.00169190,0.81894057,0.07684526,3.1754207949,4.4409e-16
79,0.079000,0.82245193,0.01296124,0.00493216,0.01353856,0.16220282,-0.00171339,0.81886393,0.07782696,3.1754207949,0.0000e+00
80,0.080000,0.82246555,0.01312341,0.00493044,0.01370729,0.16213181,-0.00173487,0.81878631,0.07880852,3.1754207949,0.0000e+00
81,0.081000,0.82247934,0.01328550,0.00492869,0.01387592,0.16205991,-0.00175634,0.81870772,0.07978994,3.1754207949,0.0000e+00
82,0.082000,0.82249330,0.01344753,0.00492692,0.01404446,0.16198714,-0.00177781,0.81862817,0.08077124,3.1754207949,4.4409e-16
83,0.083000,0.82250743,0.01360948,0.00492514,0.01421289,0.16191348,-0.00179926,0.81854764,0.08175239,3.1754207949,0.0000e+00
84,0.084000,0.82252173,0.01377135,0.00492333,0.01438122,0.16183895,-0.00182071,0.81846614,0.08273340,3.1754207949,0.0000e+00
85,0.085000,0.82253619,0.01393316,0.00492149,0.01454944,0.16176354,-0.00184215,0.81838368,0.08371427,3.1754207949,0.0000e+00
